"Neighborhood","CUISINE","RESTAURANT","SCORE"
"Financial District ","Scandinavian","SMORGAS CHEF/ CREPES DU NORD",9
"Financial District, Seaport","French","BRASSERIE LES HALLES",9
"Financial District, Seaport","American","DENNY'S",9
"Gramercy ","Delicatessen","BROADWAY CAFE",9
"Gramercy ","Eastern European","LOVE CAFE AND BAR",9
"Gramercy ","American","SONY HUB/COFFEE BAR",9
"Gramercy ","American","THE STOREHOUSE",9
"Greenwich Village ","Vegetarian","ANGELICA KITCHEN",9
"Greenwich Village ","Korean","BOWLLIN'",9
"Greenwich Village ","Chinese","CHEN'S EXPRESS KITCHEN",9
"Greenwich Village ","American","FRAICHE MAXX",9
"Greenwich Village ","Japanese","KANOYAMA",9
"Greenwich Village ","French","LE PETIT PARISIEN",9
"Greenwich Village ","Japanese","MIZU",9
"Greenwich Village ","Japanese","VILLAGE YOKOCHO",9
"Harlem","Bagels/Pretzels","ACTS 111 BAGELS",9
"Harlem","Hamburgers","MCDONALD'S",9
"Harlem","Chinese","MIN GOLDEN WOK",9
"Harlem ","Chicken","KENNEDY FRIED CHICKEN",9
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","LA ESSENCIA RESTAURANT",9
"Lower East Side ","Caf/Coffee/Tea","CAKE SHOP",9
"Lower East Side ","American","CC'S CAFE",9
"Lower East Side ","Pizza","CLINTON SQUARE PIZZA",9
"Lower East Side ","Mexican","MISSION CANTINA",9
"Lower East Side ","Bakery","NEW WING WAH BAKERY",9
"Lower East Side ","Japanese","SOY",9
"Lower East Side ","Italian","TAVERNA DI BACCO",9
"Lower East Side ","Indian","THE MASALA WALA",9
"Midtown Upper East Side ","American","AMERICAS BURGER AND WRAPS",9
"Midtown Upper East Side ","Mediterranean","ANATOLIA MEDITERRANEAN CUISINE",9
"Midtown Upper East Side ","Barbecue","BROTHER JIMMY'S BBQ",9
"Midtown Upper East Side ","American","BURGER ONE NYC",9
"Midtown Upper East Side ","Italian","FRED'S AT BARNEY'S",9
"Midtown Upper East Side ","Barbecue","MIGHTY QUINN'S BBQ",9
"Midtown Upper East Side ","Tapas","PIL PIL",9
"Midtown Upper East Side ","Japanese","SASHIMI EXPRESS",9
"Midtown Upper East Side ","American","WING BISTRO",9
"Morningside Heights ","French","CHERI",9
"Morningside Heights ","French","CHOKOLAT PATISSERIE",9
"Murray Hill ","American","BLOOMS DELICATESSEN AND RESTAURANT",9
"Murray Hill ","Asian","BUBBLE TEA  CREPES",9
"Murray Hill ","Bakery","BUTTERCUP BAKE SHOP",9
"Murray Hill ","French","CHICKEN PROVENCE",9
"Murray Hill ","Pizza","DJ PIZZA",9
"Murray Hill ","Greek","EONS GREEK FOOD FOR LIFE",9
"Murray Hill ","Jewish/Kosher","LA BROCHETTE STEAKHOUSE",9
"Murray Hill ","Caf/Coffee/Tea","OXFORD CAFE",9
"Murray Hill ","Sandwiches","TASTY CAFE",9
"Roosevelt Island ","American","RIVERWALK BAR  GRILL EXPRESS",9
"Tribeca, Soho ","Pizza","ADORO LEI",9
"Tribeca, Soho ","American","APOTHEKE/CHEMIST",9
"Tribeca, Soho ","American","BAZ BAGEL  AND RESTAURANT",9
"Tribeca, Soho ","American","CITY WINERY",9
"Tribeca, Soho ","American","CRIMINAL COURT BLDG CAFETERIA",9
"Tribeca, Soho ","Mediterranean","GOTAN",9
"Tribeca, Soho ","Sandwiches","LE PAIN QUOTIDIEN",9
"Tribeca, Soho ","Chinese","NEW ASIAN CUISINE",9
"Tribeca, Soho ","American","SARABETH'S",9
"Tribeca, Soho ","American","SHERATON TRIBECA ANTICA/STARBUCKS",9
"Tribeca, Soho ","Chinese","TASTY DUMPLING",9
"Tribeca, Soho ","American","TROPICAL 128",9
"Upper East Side","Indian","BRICKLANE CURRY HOUSE",9
"Upper East Side","French","CAFE D'ALSACE",9
"Upper East Side","Other","JJ BROWN CUP",9
"Upper East Side","Indian","MUGHLAI INDIAN CUISINE",9
"Upper East Side","French","NOGLU NEW YORK",9
"Upper East Side","French","PASCALOU",9
"Upper East Side","Pizza","RAY'S PIZZA",9
"Upper East Side ","Italian","Campagnola Restaurant",9
"Upper East Side ","American","EAST END KITCHEN",9
"Upper East Side ","Latin Cuban Dominican Puerto Rican South  Central American","LATIN BITES",9
"Upper East Side ","Pizza","MARIELLA PIZZA",9
"Upper East Side ","Japanese","TANOSHI TEI",9
"Upper West Side","Italian","ARCO CAFE",9
"Upper West Side","Italian","BETTOLA",9
"Upper West Side","Pizza","PAPA JOHN'S SUBWAY",9
"Upper West Side ","Caf/Coffee/Tea","American Table Cafe and Bar ALLICE TULLY HALL",9
"Upper West Side ","Caf/Coffee/Tea","COCO FRESH JUICE AND TEA",9
"Village NoHo ","Mexican","CAFE EL PORTAL",9
"Village NoHo ","Indian","OM",9
"Village NoHo ","American","WENDY'S",9
"Village NoHo ","Caf/Coffee/Tea","YOURS TRULY",9
"Washington Heights","Chicken","BOSTON MARKET",9
"Washington Heights","Seafood","FISH  SHRIMP RESTAURANT SPOT",9
"Washington Heights","American","HEIGHTS TAVERN",9
"Washington Heights","Chinese","SPLENDID CHINA",9
"Washington Heights ","Pizza","RIOSSI PIZZA",9
"West Greenwich Village ","American","SWINE",9
"West Greenwich Village ","Pizza","WILD",9
"West Midtown ","American","1 2 3 BURGER SHOT BEER",9
"West Midtown ","Japanese","A CANAAN SUSHI",9
"West Midtown ","Bagels/Pretzels","AUNTIE ANNE'S PRETZELS",9
"West Midtown ","American","BAR 9",9
"West Midtown ","American","BLUE RUIN",9
"West Midtown ","TexMex","BURRITO BOX",9
"West Midtown ","American","CAFE MANHATTAN",9
"West Midtown ","Mexican","CANCUN MEXICAN RESTAURANT",9
"West Midtown ","Mexican","CHEVYS FRESH MEX",9
"West Midtown ","Continental","CREATIVE CATERERS",9
"West Midtown ","American","DELMONICO'S KITCHEN",9
"West Midtown ","American","FRAME GOURMET EATERY",9
"West Midtown ","Japanese","FUJI JAPANESE RESTAURANT",9
"West Midtown ","Soups  Sandwiches","HALE  HEARTY SOUP",9
"West Midtown ","Asian","HANAMICHI",9
"West Midtown ","Pizza","HIGHLINE PIZZERIA",9
"West Midtown ","American","INDIE FRESH",9
"West Midtown ","Pizza","KISS MY SLICE",9
"West Midtown ","American","MOE'S SOUTHWEST GRILL",9
"West Midtown ","Mediterranean","NANOOSH",9
"West Midtown ","Chinese","NEW KAM WEI",9
"West Midtown ","Chinese","PEKING ROAST DUCK",9
"West Midtown ","American","PROPER WEST",9
"West Midtown ","American","Quinn's Bar  Grill",9
"West Midtown ","American","RARE VIEW ROOFTOP",9
"West Midtown ","American","SCHMACKARY'S",9
"West Midtown ","Caf/Coffee/Tea","SIMON SIPS",9
"West Midtown ","Sandwiches/Salads/Mixed Buffet","SUBWAY",9
"West Midtown ","Japanese","SUSHIYA JAPANESE RESTAURANT",9
"West Midtown ","American","THE MANSFIELD BAR",9
"West Midtown ","TexMex","THE WAYLON",9
"West Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","TINA'S RESTAURANT",9
"West Midtown ","Indian","TURMERIC NYC",9
"Chelsea Greenwich Village ","American","BARRACUDA BAR",8
"Chelsea Greenwich Village ","Hamburgers","BURGER JOINT",8
"Chelsea Greenwich Village ","Caf/Coffee/Tea","FIKA",8
"Chelsea Greenwich Village ","Vietnamese/Cambodian/Malaysia","NUM PANG SANDWICH SHOP",8
"Chelsea Greenwich Village ","American","THE MEZZ GOOGLE",8
"East Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","AREPA FACTORY",8
"East Greenwich Village ","American","BRUNO RAVIOLI",8
"East Harlem ","Asian","ASIAN GOURMET",8
"East Harlem ","Chinese","KING DRAGON 88",8
"East Midtown ","American","ANASSA TAVERNA",8
"East Midtown ","Greek","ETHOS GALLERY",8
"East Midtown ","American","HERB N' KITCHEN MARKET",8
"East Midtown ","Japanese","KATSUHAMA 47",8
"East Midtown ","Pizza","PAZZO PIZZA",8
"East Midtown ","Latin Cuban Dominican Puerto Rican South  Central American","ZENGO NYC",8
"Financial District","Donuts","DUNKIN' DONUTS",8
"Financial District ","American","STONE STREET TAVERN  52 STONE ST",8
"Financial District, Seaport","Delicatessen","PLAZA DELI",8
"Financial District, Seaport","American","SQUIRE DINER",8
"Gramercy ","Indian","INDAY",8
"Greenwich Village ","Caf/Coffee/Tea","COFFEE PROJECT NY",8
"Greenwich Village ","Mediterranean","LOCAL 92",8
"Greenwich Village ","Mexican","OTTO'S TACOS",8
"Greenwich Village ","American","THE FOURTH AMERICAN BRASSERIE",8
"Lower East Side ","Other","BOBA GUYS",8
"Lower East Side ","Caf/Coffee/Tea","CAFFE VITA",8
"Lower East Side ","Brazilian","GALERIA",8
"Lower East Side ","Chinese","GOLDEN BOWL RESTAURANT",8
"Lower East Side ","American","MR FONG'S",8
"Midtown Upper East Side ","Italian","MARONI HOT POTS",8
"Murray Hill ","Moroccan","BARBES",8
"Murray Hill ","Korean","BREAD  BUTTER",8
"Murray Hill ","Italian","PATRIZIAS OF BROOKLYN",8
"Tribeca, Soho ","Greek","GREECOLOGIES",8
"Tribeca, Soho ","American","NANCY WHISKEY PUB",8
"Tribeca, Soho ","Chinese","New Style Handpulled Noodles",8
"Tribeca, Soho ","American","SMILE TO GO",8
"Tribeca, Soho ","Caf/Coffee/Tea","VIVI BUBBLE TEA",8
"Upper East Side","French","BONJOUR CREPES  WINE",8
"Upper East Side","American","GREEN CAFE",8
"Upper East Side","African","KAIA WINE BAR",8
"Upper East Side","American","REIF'S TAVERN",8
"Upper East Side ","French","BRASSERIE COGNAC EAST",8
"Upper East Side ","Caf/Coffee/Tea","CORRADO BREAD AND PASTRY",8
"Upper East Side ","American","THE BURGER BISTRO",8
"Upper East Side ","Italian","ZUCCHERO E POMODORI",8
"Upper West Side","Chinese","A NEW SAIGON VIETNAMESE CUISINE",8
"Upper West Side","French","CAFE DU SOLEIL",8
"Upper West Side","Chinese","EMPIRE GARDEN",8
"Upper West Side","Hamburgers","MEL'S BURGER BAR",8
"Upper West Side","Jewish/Kosher","PRIME KO",8
"Upper West Side","Greek","SYMPOSIUM GREEK RESTAURANT",8
"Village NoHo ","French","BALTHAZAR RESTAURANT",8
"Village NoHo ","Delicatessen","PARISI BAKERY",8
"Washington Heights","Jewish/Kosher","CHOP CHOP",8
"Washington Heights ","American","ANGRY BURGER",8
"West Greenwich Village ","Caf/Coffee/Tea","GROUNDED",8
"West Midtown ","Other","BREAD FACTORY CAFE",8
"West Midtown ","Caf/Coffee/Tea","CAFE TARANTIN",8
"West Midtown ","American","CAFFE BENE",8
"West Midtown ","American","COSMIC DINER",8
"West Midtown ","Donuts","DUNKIN DONUTS  BASKIN ROBBINS",8
"West Midtown ","Juice Smoothies Fruit Salads","EQUINOX COLUMBUS CIRCLE",8
"West Midtown ","American","FAVORITE CAFE",8
"West Midtown ","Ice Cream Gelato Yogurt Ices","FRANNIE'S YOART",8
"West Midtown ","Delicatessen","GREEN APPLE GOURMET",8
"West Midtown ","American","HILTON NEW  YORK HILTON BANQUET HALL",8
"West Midtown ","Japanese","IROHA JAPANESE RESTAURANT",8
"West Midtown ","French","LE PAIN QUOTIDIEN",8
"West Midtown ","American","MCGEES PUB",8
"West Midtown ","Jewish/Kosher","MR BROADWAY KOSHER RESTAURANT",8
"West Midtown ","American","NILES RESTAURANT",8
"West Midtown ","Pizza/Italian","ROCKY'S BAR  RESTAURANT",8
"West Midtown ","American","TIM HORTONS SOUP MAN TASTI DLITE",8
"West Midtown ","American","VIZIO",8
"Chelsea Greenwich Village ","American","ELMO",7
"Chelsea Greenwich Village ","Pizza","GOTHAM PIZZA",7
"Chelsea Greenwich Village ","American","HIGHLINE BALLROOM",7
"Chelsea Greenwich Village ","American","HOLLYWOOD DINER",7
"Chelsea Greenwich Village ","Italian","ROSEMARY'S",7
"Chelsea Greenwich Village ","Spanish","SOCARRAT PAELLA BAR AND WINE BAR",7
"East Greenwich Village ","American","ACE BAR",7
"East Greenwich Village ","American","AVE NIDA",7
"East Greenwich Village ","Caf/Coffee/Tea","BOX KITE CAFE",7
"East Greenwich Village ","American","CAFE SILAN",7
"East Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","CARACAS AREPA /TO GO",7
"East Greenwich Village ","Caf/Coffee/Tea","GRAPE AND GRAIN",7
"East Greenwich Village ","Thai","SOMTUM DER",7
"East Greenwich Village ","Sandwiches","SUBWAY",7
"East Greenwich Village ","American","TOMPKINS SQUARE BAGELS",7
"East Harlem","Chinese","NEW DRAGON ONE",7
"East Harlem ","Latin Cuban Dominican Puerto Rican South  Central American","AMOR CUBANO",7
"East Harlem ","Chinese/Japanese","MOON HOUSE CHINESE RESTAURANT",7
"East Harlem ","Bakery","MY NY BAKERY CAFE",7
"East Harlem ","Chinese","NEW FA SHING CHINESE RESTAURANT",7
"East Midtown ","Indian","1 DARBAR",7
"East Midtown ","American","CAFE BASIL GOURMET",7
"East Midtown ","Italian","CENTRAL MARKET NEW YORK",7
"East Midtown ","Hamburgers","FIVE GUYS FAMOUS BURGERS AND FRIES",7
"East Midtown ","American","FOOD WORLD",7
"East Midtown ","Soups  Sandwiches","HALE  HEARTY SOUP",7
"East Midtown ","Indian","JOY CURRY  TANDOOR",7
"East Midtown ","American","LA GOURMET",7
"East Midtown ","American","MCDONALDS RESTAURANT",7
"East Midtown ","American","WALDORF ASTORIA NYCSIR HARRY'S",7
"Financial District","Donuts","DUNKIN DONUTS",7
"Financial District","Bakery","TAKAHACHI BAKERY",7
"Financial District ","Mexican","LENWICH",7
"Financial District ","Mediterranean","NAYA EXPRESS",7
"Financial District, Seaport","Bakery","GREAT TASTE BAKERY",7
"Financial District, Seaport","Bagels/Pretzels","WETZEL'S PRETZELS",7
"Gramercy ","Middle Eastern","ALMAYASS",7
"Gramercy ","Japanese","KOA RESTAURANT",7
"Gramercy ","American","NEW YORK COMEDY CLUB",7
"Gramercy ","American","PROMENADE BAR GRILL SUSHI",7
"Greenwich Village ","Chinese","BIANG",7
"Greenwich Village ","Middle Eastern","BIG ARC CHICKEN",7
"Greenwich Village ","Italian","BOCCA",7
"Greenwich Village ","Italian","BRUNO",7
"Greenwich Village ","Delicatessen","BULLY'S DELI",7
"Greenwich Village ","TexMex","CHIPOTLE MEXICAN GRILL",7
"Greenwich Village ","Salads","CHOP T",7
"Greenwich Village ","Caf/Coffee/Tea","HUNGRY GHOST COFFEE BAR AND CAFE AT TISCH",7
"Greenwich Village ","American","IRVINGTON BAR AND RESTAURANT",7
"Greenwich Village ","Caf/Coffee/Tea","LAZY LLAMA",7
"Greenwich Village ","Pizza","MOTORINO PIZZERIA NAPOLETANA",7
"Greenwich Village ","Japanese","RAMEN TAKUMI",7
"Greenwich Village ","Tapas","TAMU LOLA",7
"Greenwich Village ","American","THE ROYAL",7
"Harlem","Bakery","1 STOP PATTY SHOP",7
"Harlem","Ethiopian","ABYSSINIA ETHIOPIAN RESTAURANT",7
"Harlem","Thai","LITTLE BAMBOO",7
"Harlem","Caf/Coffee/Tea","MANHATANVILLE COFFEE",7
"Harlem","Mexican","PICANTE MEXICAN BAR AND GRILL RESTAURANT",7
"Inwood ","Pizza/Italian","GRANDPA'S BRICK OVEN PIZZA",7
"Korea Town ","Hamburgers","Daily Burger",7
"Korea Town ","Hotdogs","HOT DOG CONCESSION",7
"Lower East Side ","Chinese","HUA JI PORK CHOP FAST FOOD",7
"Lower East Side ","Bakery","KAMBOAT BAKERY  CAFE",7
"Lower East Side ","Tapas","NO FUN",7
"Lower East Side ","American","RUSS  DAUGHTERS CAFE",7
"Lower East Side ","Caf/Coffee/Tea","SPREADHOUSE COFFEE",7
"Lower East Side ","Pizza/Italian","WILLIAMSBURG PIZZA",7
"Midtown ","American","CAPITAL ONE NYC",7
"Midtown Upper East Side ","American","BROD KITCHEN",7
"Midtown Upper East Side ","Donuts","DUNKIN' DONUTS BASKIN ROBBINS",7
"Midtown Upper East Side ","Italian","IL RICCIO RESTAURANT",7
"Midtown Upper East Side ","Pizza/Italian","JOHN  TONYS PIZZA",7
"Midtown Upper East Side ","American","LENWICH",7
"Midtown Upper East Side ","Indian","MOTI MAHAL DELUX",7
"Midtown Upper East Side ","Jewish/Kosher","PASTRAMI QUEEN",7
"Midtown Upper East Side ","Seafood","THEOS",7
"Morningside Heights ","Caf/Coffee/Tea","LENOX COFFEE",7
"Morningside Heights ","Sandwiches/Salads/Mixed Buffet","SUBWAY",7
"Murray Hill ","Korean","BANGIA",7
"Murray Hill ","Asian","BURP BOWL CAFE",7
"Murray Hill ","Delicatessen","MISS K'S ITALIAN EATERY  CAFE",7
"Murray Hill ","American","ONEONEFOUR BAR  LOUNGE MARMAR PARK AVE",7
"Murray Hill ","Turkish","TURKISH KITCHEN",7
"Tribeca ","American","BROOKDALE",7
"Tribeca, Soho ","American","55 THOMAS CAFE",7
"Tribeca, Soho ","American","ATERA",7
"Tribeca, Soho ","American","BABY GRAND",7
"Tribeca, Soho ","Bakery","DOUBLE CRISPY BAKERY",7
"Tribeca, Soho ","Bakery","KAM HING CAFE",7
"Tribeca, Soho ","Chinese","MAY WAH FAST FOOD",7
"Tribeca, Soho ","Japanese","NOBU",7
"Tribeca, Soho ","Chinese","SING KEE SEAFOOD RESTAURANT",7
"Upper East Side","Peruvian","PIO PIO EXPRESS",7
"Upper East Side ","Italian","ARTURO'S",7
"Upper East Side ","American","MCDONALD'S",7
"Upper East Side ","Pizza/Italian","PIZZA BEACH",7
"Upper West Side","Mediterranean","EFFYS CAFE",7
"Upper West Side","Caribbean","FREDA'S",7
"Upper West Side","Soups  Sandwiches","HALE  HEARTY SOUP",7
"Upper West Side","Chinese","HAPPY HOT HUNAN RESTAURANT",7
"Upper West Side","Pizza/Italian","NUMERO 28 PIZZERIA",7
"Upper West Side","Thai","THAI MARKET",7
"Upper West Side","Pizza","TWO BOOTS",7
"Upper West Side ","Caf/Coffee/Tea","BOULE  CHERIE",7
"Upper West Side ","American","EQUINOXTHE SIDEWALK CAFE",7
"Upper West Side ","Bakery","MAGNOLIA BAKERY",7
"Upper West Side ","Indian","SAPPHIRE INDIAN CUISINE",7
"Village NoHo ","American","12 CHAIRS",7
"Village NoHo ","Italian","CARROLL PLACE",7
"Village NoHo ","Chinese","DUMPLING KINGDOM",7
"Village NoHo ","Japanese","FUKUROU",7
"Village NoHo ","American","GREAT JONES CAFE",7
"Village NoHo ","Caf/Coffee/Tea","LA COLOMBE",7
"Washington Heights","American","21 BAR",7
"West Greenwich Village ","Caf/Coffee/Tea","GREGORY'S COFFEE",7
"West Greenwich Village ","American","HOME RESTAURANT",7
"West Greenwich Village ","Pizza/Italian","JOHN'S PIZZERIA",7
"West Greenwich Village ","Pizza","PHIL'S PIZZA WEST VILLAGE",7
"West Greenwich Village ","Italian","PO RESTAURANT",7
"West Midtown ","Asian","ASURA ASIAN BISTRO",7
"West Midtown ","Sandwiches/Salads/Mixed Buffet","AU BON PAIN",7
"West Midtown ","Italian","BARILLA RESTAURANTS",7
"West Midtown ","American","BOTTOMS UP/VODKA SODA",7
"West Midtown ","American","CAFFE BENE",7
"West Midtown ","Pizza/Italian","CAVALLO'S PIZZERIA",7
"West Midtown ","Thai","Co Ba 53",7
"West Midtown ","Irish","CONNOLLY'S PUB",7
"West Midtown ","Bangladeshi","CURRY HUT",7
"West Midtown ","TexMex","EL RANCHO BURRITOS",7
"West Midtown ","Sandwiches/Salads/Mixed Buffet","EUROPA CAFE",7
"West Midtown ","Pizza","FAMOUS RAY'S PIZZA",7
"West Midtown ","American","FOUR POINTS SHERATON",7
"West Midtown ","Salads","FREEFOODS",7
"West Midtown ","American","GREEN FIG",7
"West Midtown ","Sandwiches/Salads/Mixed Buffet","GUY  GALLARD",7
"West Midtown ","American","HARDWARE BAR",7
"West Midtown ","Mediterranean","ILILI RESTAURANT",7
"West Midtown ","Hamburgers","ISLAND BURGERS AND SHAKES",7
"West Midtown ","Greek","KELLARI TAVERNA",7
"West Midtown ","Greek","LOI ESTIATORIO",7
"West Midtown ","Caf/Coffee/Tea","RAMINI ESPRESSO BAR",7
"West Midtown ","American","RGA CAFE  COFFEE BAR MERILL LYNCH",7
"West Midtown ","American","SNAX SPOT",7
"West Midtown ","Steak","ST ANDREWS RESTAURANT",7
"West Midtown ","American","STARBUCKS",7
"West Midtown ","American","STARBUCKS COFFEE  26528",7
"West Midtown ","American","STROKOS PIZZA DELI",7
"West Midtown ","American","WEST BANK CAFE",7
"East Harlem ","Hamburgers","MILK BURGER EXPRESS",6
"Gramercy ","Bagels/Pretzels","BAGEL EXPRESS III",6
"Harlem ","Spanish","TIO LUCA",6
"Korea Town ","Caf/Coffee/Tea","STARBUCKS",6
"Lower East Side ","Other","KOPITIAM",6
"Lower Manhattan ","American","CAFE EXPRESS",6
"Murray Hill ","Irish","MULLIGAN'S PUB",6
"Upper East Side","Japanese","89 TENZAN",6
"Upper West Side","American","BAREBURGER",6
"Upper West Side","American","BARNEY GREENGRASS",6
"Upper West Side","Latin Cuban Dominican Puerto Rican South  Central American","CAPRI RESTAURANT",6
"Upper West Side ","Italian","ARTE CAFE",6
"Upper West Side ","Seafood","ED'S CHOWDER HOUSE",6
"West Greenwich Village ","American","READY TO EAT",6
"West Midtown ","Middle Eastern","HUMMUS AND PITA CO",6
"West Midtown ","Irish","THE KEG ROOM",6
"Chelsea Greenwich Village ","Mexican","EL TEMERARIO",5
"Chelsea Greenwich Village ","Bakery","ELENI'S NEW YORK",5
"Chelsea Greenwich Village ","American","GUCKENHEIMER  TWITTER NYC COFFEE BAR",5
"Chelsea Greenwich Village ","Hamburgers","LUCKY'S FAMOUS BURGERS",5
"East Greenwich Village ","Pizza","MAMANI PIZZA",5
"East Greenwich Village ","Polish","NEPTUNE POLISH RESTAURANT",5
"East Midtown ","Chicken","CHIRPING CHICKEN",5
"East Midtown ","Greek","GRK",5
"East Midtown ","Italian","LUNA PIENA",5
"East Midtown ","Japanese","SUSHI YASUDA",5
"Financial District","American","MULBERRY  VINE",5
"Financial District, Seaport","Caf/Coffee/Tea","MADE FRESH DAILY",5
"Financial District, Seaport","Asian","VIETSPOT NOODLE AND SAANDWICH",5
"Gramercy ","Chicken","CITY WINGS  CAFE",5
"Gramercy ","Vietnamese/Cambodian/Malaysia","LUU'S  BAGUETTE",5
"Gramercy ","Tapas","MARCO'S RESTAURANT",5
"Gramercy ","Indian","THE ROYAL MUNKEY",5
"Greenwich Village ","Caf/Coffee/Tea","CAFFE BENE",5
"Greenwich Village ","Caf/Coffee/Tea","EVERYMAN ESPRESSO",5
"Harlem ","Bakery","GRINI'S BAKERY",5
"Inwood ","Chinese/Cuban","AMY'S RESTAURANT",5
"Korea Town ","American","CHICKEN/FRIES CONCESSION",5
"Korea Town ","American","GARDEN MARKET",5
"Korea Town ","American","HOT DOG CONCESSION",5
"Korea Town ","Hotdogs","HOT DOG CONCESSION",5
"Lower East Side ","American","BEVERLY'S",5
"Midtown ","American","SOCIETE GENERALE CAFETERIA",5
"Midtown Upper East Side ","Japanese","A ASO SUSHI",5
"Midtown Upper East Side ","American","HOTEL PIERREMAIN KITCHEN",5
"Midtown Upper East Side ","Italian","SANT AMBROEUS",5
"Murray Hill ","Mexican","OAXACA TAQUERIA MURRAY HILL",5
"Murray Hill ","Korean","THIRD FLOOR CAFE",5
"Murray Hill ","American","WOLFETONE'S IRISH PUB  KITCHEN",5
"Roosevelt Island ","Sandwiches","SUBWAY",5
"Tribeca, Soho ","Bakery","BILLY'S BAKERY",5
"Tribeca, Soho ","Italian","CAFFE PALERMO",5
"Tribeca, Soho ","Chinese","PANG HUANG RESTAURANT",5
"Upper East Side ","Donuts","DUNKIN' DONUTS",5
"Upper East Side ","American","EJ LUNCHEONETTE",5
"Upper East Side ","Chinese","MEE NOODLE SHOP  GRILL",5
"Upper West Side","Bagels/Pretzels","BROADWAY BAGEL",5
"Upper West Side","Salads","CHOP'T",5
"Village NoHo ","Bakery","Brigadeiro Bakery",5
"Village NoHo ","American","EGG SHOP",5
"Village NoHo ","American","LUXOR LOUNGE",5
"Village NoHo ","American","MACDOUGAL STREET ALE HOUSE",5
"Village NoHo ","Italian","PORTO BELLO RESTAURANT",5
"Village NoHo ","French","TARTINERY",5
"West Greenwich Village ","Asian","AMBER VILLAGE  SUSHI AND THAI",5
"West Greenwich Village ","Irish","BARROW'S PUB",5
"West Greenwich Village ","Bakery","HUDSON CAFE",5
"West Greenwich Village ","Italian","TRATTORIA SPAGHETTO",5
"West Midtown ","Chinese/Japanese","AKI SUSHI WEST",5
"West Midtown ","American","BRICKYARD GASTRO PUB",5
"West Midtown ","Other","HOWL AT THE MOON",5
"West Midtown ","Jewish/Kosher","MILK N' HONEY",5
"West Midtown ","Irish","O'REILLY'S PUB",5
"West Midtown ","American","TICK TOCK DINER",5
